winner,starter,turns,pts
2,2,13,77
2,2,17,19
2,1,12,44
2,1,12,66
1,2,10,5
1,1,15,14
2,1,28,65
2,2,7,20
1,2,8,36
2,1,10,18
2,1,6,99
2,2,27,79
1,1,17,10
1,2,18,82
1,1,13,26
2,2,19,6
1,2,6,34
2,2,5,75
1,1,9,77
1,1,21,70
2,2,13,97
2,2,5,82
2,2,21,12
2,1,10,34
2,2,13,98
2,1,20,2
1,2,20,13
1,1,5,34
2,2,3,83
1,2,34,5
2,2,13,40
2,2,9,26
2,1,12,2
1,1,29,7
1,2,30,11
2,1,18,14
1,1,9,34
1,2,22,94
1,2,16,10
2,2,13,10
1,2,22,2
2,2,23,10
2,2,29,5
2,1,12,29
2,2,19,9
2,2,13,2
2,1,24,6
2,2,5,19
2,2,29,3
1,2,32,29
2,2,11,50
1,1,13,2
1,1,23,5
1,1,11,97
1,2,8,41
1,1,11,34
1,1,7,63
1,1,29,5
1,1,23,16
1,2,10,108
1,1,7,22
2,2,5,10
1,1,21,8
1,1,17,13
2,2,9,65
2,1,12,10
1,1,7,113
1,2,6,6
1,2,18,3
1,1,23,20
1,1,9,21
1,1,17,12
2,1,40,9
2,2,11,35
1,2,16,4
2,1,16,8
2,2,1,86
2,2,9,36
1,1,27,19
2,1,14,23
1,2,18,25
2,1,28,16
1,2,12,34
2,1,2,30
1,2,22,9
2,1,14,52
2,1,6,19
1,1,11,33
1,2,6,33
1,1,5,104
1,2,14,30
1,1,21,25
2,1,22,19
2,2,5,97
1,2,8,95
1,2,8,98
2,2,13,88
2,1,2,57
2,1,8,19
1,2,10,2
1,1,17,17
1,2,8,12
2,1,12,87
1,1,7,92
1,1,19,5
2,2,11,55
2,2,17,14
2,2,9,41
2,1,24,9
1,2,20,4
2,1,12,17
2,1,14,2
1,1,19,70
1,1,11,13
2,1,26,25
1,1,15,105
2,1,26,5
2,1,6,80
2,1,10,32
2,2,17,94
2,2,15,31
2,1,4,31
1,1,15,15
1,2,12,24
2,2,5,99
1,2,12,81
1,2,2,100
2,1,12,8
2,1,18,13
1,2,14,92
2,2,9,89
1,2,2,18
2,1,6,91
1,2,8,70
1,2,14,75
1,1,15,15
2,2,25,13
1,2,16,8
1,2,16,32
1,1,21,16
1,2,12,4
1,2,14,15
1,2,16,10
2,1,30,3
2,2,27,11
1,1,9,16
2,1,20,29
1,2,20,2
2,2,7,98
1,2,16,10
2,2,13,7
1,2,22,7
1,2,10,54
1,2,10,10
2,2,15,10
1,1,3,11
1,2,8,36
2,1,4,15
1,2,10,29
2,1,12,3
2,1,16,4
2,1,20,25
1,1,13,12
1,1,9,99
1,1,5,51
1,2,16,40
2,1,14,12
2,2,11,76
1,2,12,33
2,2,9,67
2,2,21,4
1,2,32,9
2,1,12,14
2,1,8,101
1,1,17,83
2,2,15,5
2,2,21,7
2,2,23,5
2,1,8,18
1,2,24,5
2,2,5,99
2,1,20,62
2,2,11,67
2,2,19,10
2,2,19,9
2,1,8,91
2,2,11,8
1,1,33,19
2,2,9,14
2,1,20,35
1,1,11,88
1,1,33,10
1,1,5,35
1,1,9,26
1,2,32,20
1,1,5,10
2,2,13,79
2,2,13,5
1,2,16,16
1,2,22,26
1,2,24,17
1,2,10,93
2,1,6,39
1,2,24,10
1,1,21,72
1,2,14,46
2,1,22,14
2,2,25,68
1,1,13,91
1,2,22,40
1,2,16,29
1,1,29,22
1,1,9,81
2,1,12,97
2,1,16,14
1,2,10,60
1,2,14,10
1,1,3,34
1,1,25,2
2,1,32,5
2,2,3,84
2,2,17,55
1,1,13,17
1,1,27,64
2,2,17,10
1,1,13,80
1,2,14,82
2,1,8,69
1,1,23,10
2,2,11,37
2,2,25,15
1,1,9,16
2,1,14,18
1,2,6,23
1,1,7,30
1,2,22,18
1,2,12,31
1,2,20,31
2,2,29,29
1,2,22,9
2,2,5,100
1,1,7,19
1,1,25,18
1,2,22,10
1,2,24,58
2,1,16,81
1,2,20,23
2,1,16,34
1,1,9,5
2,1,14,40
2,1,10,24
2,2,21,29
2,2,7,87
2,2,13,5
2,2,17,84
2,2,7,78
1,2,22,18
2,1,12,23
1,2,8,40
2,2,15,3
1,2,16,103
1,1,25,36
1,1,15,12
2,2,23,9
1,1,15,3
2,2,9,101
1,2,14,58
2,2,23,20
1,1,7,28
2,1,16,10
2,2,13,17
1,2,10,77
2,1,12,93
1,1,15,2
1,2,16,40
1,2,16,20
1,1,21,20
1,1,19,14
2,1,12,14
1,1,7,26
1,1,11,47
2,2,11,16
2,1,10,2
2,1,20,2
2,1,16,14
2,2,21,5
2,1,20,10
1,2,6,64
1,1,9,17
1,2,14,2
2,2,5,42
1,2,16,15
1,1,13,81
1,1,21,72
2,1,24,26
2,1,10,39
2,2,21,4
2,2,9,9
1,1,7,9
1,2,10,60
1,1,9,69
2,2,21,44
1,2,20,25
2,2,17,6
1,2,6,10
2,1,4,88
1,1,15,12
2,2,9,34
1,1,19,3
1,1,9,11
1,2,6,101
2,1,12,41
1,1,15,29
1,2,16,13
2,1,10,7
2,1,16,13
2,2,7,24
2,1,16,29
2,1,6,81
1,1,13,18
1,2,8,96
2,1,22,8
1,1,9,5
2,2,15,16
2,2,3,90
1,2,12,17
2,2,17,8
2,2,15,7
2,1,32,11
1,1,13,15
1,1,7,84
2,1,20,29
2,1,6,28
1,2,16,27
2,1,4,78
1,2,14,61
1,1,11,76
1,1,17,9
1,1,21,10
1,2,20,6
2,1,24,4
1,2,16,20
1,2,26,6
1,2,6,61
1,2,14,88
1,2,12,10
2,1,12,94
1,2,16,7
2,2,5,84
2,1,14,10
1,2,8,10
1,2,14,38
1,2,6,51
1,2,6,80
2,2,27,19
1,1,25,30
1,2,6,13
2,1,26,79
2,1,26,0
2,1,20,7
2,2,15,20
1,1,7,42
2,2,21,37
1,2,24,26
1,2,18,10
2,1,16,89
1,1,21,75
2,1,10,24
1,1,15,85
2,1,18,6
2,2,13,2
1,2,12,10
2,1,6,73
2,2,9,73
1,1,5,22
2,1,20,2
1,1,15,10
2,1,14,78
2,1,18,13
2,1,16,16
1,2,16,29
1,2,10,87
2,1,12,80
2,2,19,74
1,1,9,97
2,2,7,4
1,2,16,29
2,1,30,7
2,1,20,75
2,2,35,61
1,2,10,26
2,2,15,18
2,1,8,25
1,1,7,98
2,2,9,48
1,1,7,69
1,2,18,38
2,1,14,2
1,1,25,12
1,1,15,16
2,1,14,28
1,2,16,88
2,2,9,6
2,1,16,16
2,2,9,80
2,2,19,8
1,1,11,2
2,2,17,17
2,1,8,14
2,1,6,18
1,1,21,83
