winner,starter,turns,pts
1,2,22,17
2,2,13,0
2,1,14,40
2,1,14,65
2,2,3,31
1,1,15,14
1,1,11,20
1,2,10,32
2,2,15,10
2,1,10,18
2,1,10,15
1,2,32,33
1,1,19,7
1,2,20,53
1,1,17,6
2,2,21,6
1,2,6,34
2,2,5,75
1,1,9,77
2,1,32,9
2,2,13,97
2,2,5,82
1,2,12,23
2,1,10,34
2,2,19,109
2,1,20,30
1,2,20,13
1,1,5,34
2,2,3,83
2,2,19,34
1,2,14,0
2,2,9,26
1,1,9,3
1,1,29,7
1,2,30,11
1,1,21,19
1,1,9,45
1,2,22,94
1,2,14,21
2,2,13,10
1,2,34,10
2,2,15,51
1,2,24,21
2,1,8,29
2,2,7,19
1,2,8,34
2,1,14,6
2,2,5,19
1,2,18,31
1,2,28,17
2,2,9,47
1,1,13,2
1,1,19,25
1,1,13,32
1,2,20,13
1,1,13,40
1,1,15,33
1,1,19,89
1,1,27,14
1,2,10,108
1,1,7,22
2,2,5,10
2,1,18,14
1,1,11,60
1,2,20,17
2,1,14,27
1,1,11,53
1,2,6,6
2,2,11,10
1,1,15,57
1,1,9,21
1,1,7,47
2,2,11,35
1,2,12,4
2,1,12,6
2,2,1,86
2,2,13,10
1,1,21,47
2,1,10,21
1,2,16,25
1,1,21,96
1,2,12,34
2,1,2,30
2,2,17,5
2,1,8,46
2,1,6,19
1,1,11,12
1,2,6,33
1,1,3,104
1,2,14,30
1,1,13,72
2,1,24,7
2,2,5,97
1,2,16,20
2,2,21,66
2,2,11,96
2,1,2,57
2,1,10,10
2,2,9,10
1,1,13,10
1,2,8,12
2,1,12,87
1,1,9,91
1,1,15,7
2,2,11,57
1,2,12,44
1,2,16,83
2,1,14,29
1,2,22,2
2,1,12,2
2,1,8,22
1,1,25,28
1,1,11,13
2,1,28,10
1,1,19,45
2,1,14,46
2,1,6,80
1,1,17,22
2,2,13,97
1,2,22,60
2,1,4,31
1,1,13,15
1,2,10,26
2,2,9,41
1,2,10,82
1,2,12,50
2,1,10,30
2,1,16,14
1,2,14,92
2,2,7,89
1,2,2,18
2,1,6,91
1,2,8,70
1,2,12,78
1,1,17,32
2,2,21,8
1,2,12,14
1,2,14,61
1,1,15,8
1,2,10,0
2,2,13,10
1,2,18,6
1,1,17,23
1,2,30,3
1,1,9,77
2,1,20,29
1,2,22,2
2,2,7,98
1,2,24,30
2,2,13,32
1,2,22,7
1,2,14,53
1,2,10,10
2,2,15,10
1,1,3,11
1,2,8,9
2,1,4,15
1,2,8,23
1,1,11,22
2,1,12,54
2,1,20,74
1,1,13,73
1,1,19,36
1,1,5,51
1,2,14,64
2,1,14,12
2,2,13,89
1,2,18,8
2,2,9,67
1,2,20,48
1,2,8,66
2,1,16,12
2,1,8,101
1,1,17,83
2,2,15,5
2,2,15,24
2,2,19,5
1,1,9,9
1,2,22,78
2,2,5,99
1,1,15,15
2,2,27,6
2,2,11,25
2,2,17,23
2,1,8,91
2,2,11,8
1,1,19,30
2,2,9,14
2,1,12,50
1,1,11,83
1,1,31,3
1,1,5,35
2,1,18,15
2,2,23,6
1,1,5,10
2,2,15,67
2,2,13,35
1,2,24,61
1,2,22,15
1,2,20,23
1,2,16,4
1,1,11,16
1,2,38,15
2,1,14,17
1,2,14,46
1,1,21,10
1,2,30,9
2,1,22,10
1,2,20,40
1,2,8,82
1,1,33,34
1,1,5,78
2,1,8,96
2,1,16,23
1,2,10,60
2,2,15,10
1,1,3,34
1,1,15,28
1,1,27,27
2,2,3,84
2,2,21,29
1,1,11,17
1,1,15,65
2,2,17,10
1,1,13,80
1,2,10,72
2,1,10,39
1,1,15,29
2,2,11,37
1,2,24,85
1,1,9,16
2,1,12,5
1,2,6,13
1,1,7,30
2,2,21,17
1,2,14,23
1,2,16,19
2,2,33,10
1,2,22,9
2,2,5,100
1,1,5,19
1,1,13,48
1,2,26,10
1,2,24,58
1,1,15,97
2,2,21,10
2,1,20,35
1,1,9,5
2,1,16,17
2,1,14,10
1,2,16,15
2,2,7,83
1,2,12,3
1,2,22,6
2,2,7,95
1,2,18,20
2,1,12,10
1,2,12,14
2,2,13,13
1,2,16,19
1,1,21,8
1,1,13,39
1,2,18,80
2,1,18,71
2,2,17,59
2,2,17,85
1,2,14,96
1,1,7,28
2,1,18,7
2,2,15,56
1,2,10,30
2,1,14,87
1,1,21,47
1,2,12,69
1,2,22,51
1,1,11,76
1,1,17,37
2,1,14,16
1,1,7,26
1,1,15,23
2,2,5,6
2,1,10,13
2,1,26,47
2,1,16,16
1,2,26,2
2,1,16,11
1,2,6,64
1,1,9,31
1,2,12,19
2,2,5,42
1,2,18,17
1,1,15,85
2,1,30,14
1,1,27,10
2,1,18,19
1,2,20,10
2,2,9,9
1,1,7,9
1,2,10,60
1,1,9,69
2,2,19,55
1,2,18,21
2,2,11,8
1,2,6,10
2,1,4,88
2,1,14,5
2,2,13,28
1,1,19,19
1,1,9,11
