winner,starter,turns,pts
1,2,16,84
2,2,15,36
2,1,8,17
1,1,9,73
1,1,29,10
2,2,19,19
2,2,17,83
2,2,17,85
1,2,6,17
2,1,18,26
1,1,9,51
1,1,19,3
1,2,6,90
1,2,26,17
1,2,22,18
2,2,17,81
2,2,25,30
2,1,14,2
1,1,5,34
2,2,17,5
1,2,6,68
2,2,13,10
2,1,22,105
1,1,15,22
1,2,18,18
2,1,18,4
1,2,8,28
2,2,11,9
2,1,26,92
2,1,16,19
1,2,14,70
1,2,12,101
1,2,12,102
1,2,10,10
2,1,24,35
1,2,12,34
2,2,35,69
1,1,33,4
1,2,14,74
1,1,11,50
1,2,16,6
1,2,8,87
2,1,14,7
2,2,9,43
2,2,25,24
1,1,21,26
2,2,27,10
1,2,14,25
1,1,17,23
2,2,5,90
2,1,22,10
2,2,17,56
1,2,30,12
1,1,9,54
2,2,23,2
1,1,17,23
2,2,15,5
2,1,36,10
1,1,11,15
1,1,9,54
1,1,13,82
2,1,12,97
1,1,25,10
1,1,9,95
1,1,35,2
1,1,33,10
1,2,18,21
2,1,8,77
2,2,9,50
1,2,8,47
2,1,20,30
1,2,12,30
1,1,13,18
1,2,10,74
2,1,14,3
1,2,18,24
1,1,27,6
2,1,20,8
1,1,21,24
1,1,15,34
2,1,12,20
1,1,9,104
2,1,20,20
1,1,15,9
1,2,18,10
2,1,22,10
2,2,41,14
2,2,7,95
2,2,9,80
1,1,9,88
2,1,8,10
1,2,18,13
2,2,25,4
2,1,20,3
1,1,11,21
2,1,4,7
2,2,19,45
1,2,16,26
1,2,16,18
1,2,18,10
2,2,27,3
2,1,10,92
2,2,11,56
1,1,9,33
2,1,10,58
2,2,11,27
2,1,10,37
2,2,13,108
2,1,10,3
2,2,15,30
1,2,14,26
2,2,25,28
1,1,19,19
2,1,22,7
1,1,7,28
2,2,9,24
2,2,5,82
2,1,12,105
2,1,20,10
1,2,10,24
2,1,10,5
1,2,10,6
2,2,15,55
2,2,7,67
1,1,17,49
2,2,17,44
1,2,6,72
1,2,22,10
1,1,27,19
2,2,7,32
2,1,4,67
2,2,31,10
2,1,20,27
1,1,13,16
1,1,13,32
1,2,12,33
1,1,15,77
1,2,22,2
1,1,17,53
1,1,13,24
2,1,20,14
2,1,22,10
1,2,16,4
2,2,13,13
2,1,8,10
1,2,16,83
2,1,16,91
1,1,13,24
1,1,11,14
2,2,11,91
2,2,13,99
1,1,9,28
2,2,1,99
2,1,8,51
1,1,5,98
1,1,15,7
2,2,25,19
2,2,25,6
2,1,18,12
2,2,13,25
1,2,10,31
2,1,14,10
1,1,13,92
1,2,12,90
1,1,7,10
1,1,11,2
1,1,21,2
1,2,26,11
2,2,5,24
2,1,6,10
2,2,11,91
1,1,7,93
1,1,19,18
1,1,23,36
2,2,9,108
2,1,8,18
2,2,17,97
1,1,17,3
2,1,12,33
2,2,23,12
2,1,14,19
2,1,30,23
1,1,29,7
1,1,19,9
2,2,11,19
1,2,12,27
1,2,20,20
2,1,22,23
2,1,6,64
2,2,11,23
1,1,11,79
2,2,13,62
1,2,14,17
1,1,21,59
2,2,13,14
1,2,14,101
1,1,17,38
1,1,15,27
2,1,6,62
2,2,11,5
2,1,18,10
2,2,19,19
1,1,7,27
1,1,13,46
1,2,2,50
2,2,3,28
2,1,4,88
2,2,17,6
1,2,8,30
2,1,12,22
1,2,18,10
1,2,8,40
1,1,5,88
2,1,10,23
1,1,3,65
1,1,15,5
1,1,13,16
1,1,5,25
2,2,21,95
1,2,12,2
1,2,14,8
2,2,7,90
1,1,33,15
2,1,22,12
1,2,12,21
1,1,15,8
1,2,12,10
1,1,27,23
1,2,18,104
2,2,17,27
2,1,8,66
1,1,15,68
1,1,17,30
1,2,12,67
2,1,18,95
2,2,23,91
2,1,10,21
1,2,36,20
1,1,17,9
1,2,14,26
1,2,10,17
1,2,20,23
2,2,5,41
1,2,20,52
1,2,18,58
1,2,8,33
1,2,12,28
1,1,9,86
1,2,12,29
2,1,16,20
2,2,7,53
1,2,18,10
1,2,12,6
2,1,12,68
2,2,7,21
1,1,7,9
2,1,8,98
1,1,13,22
1,2,12,35
1,1,31,10
2,2,17,9
2,2,25,30
1,2,26,7
2,2,13,33
2,2,11,36
1,2,10,23
2,2,11,22
1,1,7,90
2,2,15,51
2,1,6,84
1,1,3,84
1,1,7,73
2,1,32,2
1,1,7,86
2,2,17,8
1,1,17,46
2,2,19,5
1,2,20,21
1,2,6,43
2,1,12,35
1,2,10,15
1,2,10,9
2,1,2,18
2,1,20,10
2,2,7,10
2,1,8,21
1,1,11,10
1,1,5,33
1,1,11,17
2,2,15,119
1,2,20,27
1,2,12,20
1,1,17,5
2,2,5,22
2,2,5,102
1,2,14,6
2,1,18,34
2,2,15,46
2,1,12,25
2,1,26,9
2,2,15,38
2,2,11,5
1,2,10,23
1,2,8,7
1,1,23,53
1,1,9,36
1,2,12,3
1,1,15,2
2,2,19,78
2,1,12,4
2,1,20,22
2,2,17,77
1,2,12,25
1,1,3,72
2,1,14,97
2,2,9,16
1,2,22,10
1,2,10,25
2,1,14,10
1,2,10,75
2,2,13,17
1,2,24,68
1,2,8,58
2,2,13,33
1,2,14,7
2,1,18,9
2,1,16,9
1,1,15,11
2,1,12,29
2,2,17,9
2,1,34,6
2,1,22,10
1,1,19,9
1,2,10,0
1,1,11,25
1,2,8,70
1,2,10,51
2,2,13,12
1,1,7,97
2,1,8,5
1,2,28,33
2,2,23,86
2,1,10,85
1,1,17,83
1,2,14,70
1,1,23,5
2,2,5,47
2,1,8,13
2,1,10,85
1,2,18,66
1,1,7,76
1,2,8,14
1,1,9,92
2,2,21,10
2,2,17,40
2,1,14,91
1,1,11,7
2,2,9,13
2,2,9,7
1,1,21,0
2,1,8,22
2,1,22,7
1,2,8,4
1,1,21,17
2,1,22,77
1,1,11,16
1,2,16,19
2,1,12,34
1,2,20,3
2,2,11,41
2,2,5,91
2,2,5,49
2,1,6,35
1,1,5,3
1,2,20,33
